Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
"Mandeville Road, Northolt (North-Eastward) (806)",Ealing,UB5 4AA,24/05/2011,12/01/2017,2060,12,8,£650.00,£0.32,0.0,£520.00,130,65,,
Fishponds Rd,Bristol,180,01/02/2010,23/12/2016,2517,17,6,£741.00,£0.29,0.0,£187.00,£60.00,£30.00,,
Kingsway,Camden,WC2B 6SE,11/08/2011,09/01/2017,1978,7,4,£520.00,£0.26,0.0,£260.00,,,,
Kingsway/Victory House,Camden,WC2B 6TP,11/08/2011,09/01/2017,1978,8,6,£455.00,£0.23,0.0,£390.00,,,,
Bloomsbury Square/Southampton Place,Camden,WC1A 2RA,11/08/2011,09/01/2017,1978,5,1,£455.00,£0.23,0.0,£65.00,,,,
Fishponds Rd,Bristol,186,03/09/2012,23/12/2016,1572,5,3,£295.00,£0.19,0.0,£60.00,£60.00,£30.00,,
Kingsway/Holburn,Camden,WC2B 6NH,11/08/2011,09/01/2017,1978,6,2,£325.00,£0.16,0.0,£130.00,,,,
King Street Westbound,Hammersmith and Fulham,101,01/04/2009,30/11/2016,2800,11,1,£455.00,£0.16,0.0,£65.00,130,65,,
Uxbridge Road Eastbound,Hammersmith and Fulham,"311,312",01/04/2009,30/11/2016,2800,7,1,£385.00,£0.14,0.0,£65.00,130,65,,
Highgate Road/Sandersons Close,Camden,NW5 1TL,11/08/2011,09/01/2017,1978,5,3,£260.00,£0.13,0.0,£130.00,,,,
Fishponds Rd,Bristol,181,01/02/2010,23/12/2016,2517,8,0,£307.00,£0.12,0.0,-,£60.00,£30.00,,
Tottenham Court Road/Bayley Street,Camden,W1T 7QN,11/08/2011,09/01/2017,1978,3,3,£195.00,£0.10,0.0,£195.00,,,,
Grays Inn Road/High Holborn,Camden,WC1X 8HG,11/08/2011,09/01/2017,1978,3,4,£195.00,£0.10,0.0,£195.00,,,,
Uxbridge Road Westbound,Hammersmith and Fulham,"314,315",01/04/2009,30/11/2016,2800,3,1,£195.00,£0.07,0.0,£65.00,130,65,,
Shaftsbury Avenue/Princess Circus,Camden,WC2H 8EL,11/08/2011,09/01/2017,1978,1,1,£130.00,£0.07,0.0,£130.00,,,,
Camden Street/Jeffrey Street,Camden,NW1 9PT,11/08/2011,09/01/2017,1978,1,1,£130.00,£0.07,0.0,£130.00,,,,
Clerkenwell Road/Gray's Inn Road,Camden,WC1R 5NR,11/08/2011,09/01/2017,1978,6,6,£130.00,£0.07,0.0,£130.00,,,,
Bristol Hill/Eagle Road,Bristol,125,01/05/2010,23/12/2016,2428,5,0,£150.00,£0.06,0.0,-,£60.00,£30.00,,
Fulham High Street South,Hammersmith and Fulham,N/A,01/04/2009,30/11/2016,2800,4,0,£125.00,£0.04,0.0,£0.00,130,65,,
Tottenham Court Road/Bedford Court Mansions,Camden,W1T 1AZ,11/08/2011,09/01/2017,1978,1,1,£65.00,£0.03,0.0,£65.00,,,,
Dudden Hill Lane Cctv Lane Watch,Brent,,13/07/2013,16/01/2017,1283,,3186,,£0.00,,"£164,534.16",130,65,,
"High Road (Lancelot Road), HA0 CCTV",Brent,,13/07/2013,16/01/2017,1283,,3041,,£0.00,,"£162,485.17",130,65,,
Cricklewood Broadway CCTV,Brent,,13/07/2013,16/01/2017,1283,,790,,£0.00,,"£35,673.89",130,65,,
"High Road, (Wembley - CCTV)",Brent,,13/07/2013,16/01/2017,1283,,358,,£0.00,,"£23,814.10",130,65,,
Kilburn High Road (CCTV),Brent,,13/07/2013,16/01/2017,1283,,345,,£0.00,,"£23,073.00",130,65,,
Harrow Road (CCTV),Brent,,13/07/2013,16/01/2017,1283,,210,,£0.00,,"£13,079.00",130,65,,
Kilburn High Road Cctv,Brent,,13/07/2013,16/01/2017,1283,,124,,£0.00,,"£8,125.00",130,65,,
Cricklewood Broadway Cctv (camera 242),Brent,,13/07/2013,16/01/2017,1283,,105,,£0.00,,"£5,655.00",130,65,,
"Dudden Hill Lane,NW10(camera 220)",Brent,,13/07/2013,16/01/2017,1283,,62,,£0.00,,"£3,843.50",130,65,,
"Empire Way, HA0 (cctv)",Brent,,13/07/2013,16/01/2017,1283,,52,,£0.00,,"£3,394.00",130,65,,
Harrow Road Cctv,Brent,,13/07/2013,16/01/2017,1283,,24,,£0.00,,"£1,503.00",130,65,,
Cricklwood Broad Way Cctv,Brent,,13/07/2013,16/01/2017,1283,,19,,£0.00,,"£1,242.00",130,65,,
"Forty Avenue,HA9 Mcctv",Brent,,13/07/2013,16/01/2017,1283,,15,,£0.00,,"£1,119.00",130,65,,
Empire Way Cctv ( Camera 234),Brent,,13/07/2013,16/01/2017,1283,,14,,£0.00,,£715.00,130,65,,
Empire Way Cctv,Brent,,13/07/2013,16/01/2017,1283,,10,,£0.00,,£390.00,130,65,,
"High Street Harlesden, NW10 (Camera 255)",Brent,,13/07/2013,16/01/2017,1283,,2,,£0.00,,£260.00,130,65,,
Cricklewood Broadway (camera 223),Brent,,13/07/2013,16/01/2017,1283,,1,,£0.00,,£202.00,130,65,,
Kilburn High Road (camera 114),Brent,,13/07/2013,16/01/2017,1283,,3,,£0.00,,£195.00,130,65,,
Harrow Road (sudbury) McCtv,Brent,,13/07/2013,16/01/2017,1283,,2,,£0.00,,£130.00,130,65,,
"All Souls Avenue,NW10 McCtv",Brent,,13/07/2013,16/01/2017,1283,,1,,£0.00,,£65.00,130,65,,
Ealing Road Cctv ( Camera 233 ),Brent,,13/07/2013,16/01/2017,1283,,1,,£0.00,,£65.00,130,65,,
Harrow Road (camera 152),Brent,,13/07/2013,16/01/2017,1283,,2,,£0.00,,£65.00,130,65,,
Dudden Hill Lane Mcctv,Brent,,13/07/2013,16/01/2017,1283,,1,,£0.00,,£0.00,130,65,,
Kingsbury Road Cctv,Brent,,13/07/2013,16/01/2017,1283,,1,,£0.00,,£0.00,130,65,,
Unknown,Lancashire,,14/11/2016,10/11/2016,-4,0,0,£0.00,£0.00,0.0,£0.00,£60.00,£30.00,£90,Went operational 14/11/2016 £30 if paid in 14 days. Council refused to reveal location as it may prevent them catching people.
York Rd Service Rd,Leeds,,,,,,5,,£0.00,,£0.00,£60.00,£30.00,,
Glossop Road - near Wilkinson St,Sheffield,,01/08/2010,28/11/2016,2311,22588,3342,,£0.00,9.8,"£130,960.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Lavender Hill / Ashley Crescent,Wandsworth,,01/04/2013,09/01/2017,1379,0,0,£0.00,£0.00,0.0,£0.00,130,65,,
Queenstown Road / Battersea Park Road,Wandsworth,,01/04/2013,09/01/2017,1379,0,0,£0.00,£0.00,0.0,£0.00,130,65,,
A5 Cricklewood Broadway / Junc/W Depot Approach NW2,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
A5 Edgware Road / Cricklewood Broadway O/S no. 400,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
West Hendon Broadway J/W Milton Road / 40m Nth of Stanely Rd NW9,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
West Hendon Broadway Opposite Telford Road NW9,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
The Hyde/West Hendon Broadway,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
A5 The Hyde / 20m North of J/W Hyde Estate Road NW9,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
"A5 The Hyde / Southside of J/W Rushgrove Avenue
",Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
A5 The Hyde / 40m Nth of Colindale Avenue NW9,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
A5 Burnt Oak Broadway / Southside of J/W Barnfield Road HA8,Barnet,,06/06/2011,29/12/2016,2033,,,,,0.0,,,,,
High Street,Bath and North East Somerset,BA1 0SA,2006,31/3/2016,,,4065,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
New Bond Street,Bath and North East Somerset,BA1 1BA,2006,31/3/2016,,,11288,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
Northgate Street,Bath and North East Somerset,BA1 1AJ,2006,31/3/2016,,,2621,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
Pulteney Bridge,Bath and North East Somerset,BA2 4AX,2006,31/3/2016,,,6713,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
Wells Road,Bath and North East Somerset,BA2 3AP,2006,31/3/2016,,,684,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
London Road,Bath and North East Somerset,BA1 6PT,2006,31/3/2016,,,,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
Wellsway,Bath and North East Somerset,BA2 2UA,2006,31/3/2016,,,0,,,,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
Dorcester Street,Bath and North East Somerset,BA1 1SS,01/01/2014,31/3/2016,820,,,,,0.0,,£60.00,£30.00,,"Calculations not possible as included Dorcester Street fines, which were subsequently repaid"
St Martin's Queensway (towards Moor Street Queensway),Birmingham,B2 4PU,03/09/2013,17/11/2016,1171,60925,20990,,,52.0,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
The Priory Queensway (south bound towards Old Square),Birmingham,B4 6BS,03/09/2013,17/11/2016,1171,21094,6993,,,18.0,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
The Priory Queensway (south bound towards Masshouse Lane),Birmingham,B4 6BS,03/09/2013,17/11/2016,1171,17880,6458,,,15.3,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Bull Street (towards Corporation Street),Birmingham,B4 7LB,03/09/2013,17/11/2016,1171,13081,5571,,,11.2,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
The Priory Queensway (north bound towards Colmore Circus),Birmingham,B4 6BS,03/09/2013,17/11/2016,1171,10594,4117,,,9.0,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Moor Street Queensway (towards The Priory Queensway),Birmingham,B4 7UL,03/09/2013,17/11/2016,1171,7637,3249,,,6.5,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Horton Square Southbound,Birmingham,B12 0YR,01/12/2014,17/11/2016,717,6158,3111,,,8.6,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
The Priory Queensway (north bound towards Old Square),Birmingham,B4 6BS,03/09/2013,17/11/2016,1171,4235,383,,,3.6,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Moor Street Queensway (east bound slip road),Birmingham,B4 7UL,03/09/2013,17/11/2016,1171,3890,1600,,,3.3,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
St Martin's Queensway (towards New Street Station),Birmingham,B2 4PU,03/09/2013,17/11/2016,1171,2999,932,,,2.6,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Longmore Street Northbound,Birmingham,B12 9ED,01/01/2014,17/11/2016,1051,2510,1175,,,2.4,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Moor Street Queensway (south west bound slip road),Birmingham,B4 7UL,03/09/2013,17/11/2016,1171,738,261,,,0.6,,£60.00,£30.00,£90,Total is since 1/4/14 £90 if not paid within 28 days
Widmore Road,Bromley,,01/04/2014,27/01/2017,1032,,,,,,,130,65,,
Bromley Road,Bromley,,,,,,,,,,,130,65,,
Crystal Palace Parade,Bromley,,,,,,,,,,,130,65,,
Crystal Palace Parade (Bus Station),Bromley,,,,,,,,,,,130,65,,
Crystal Palace Park Road,Bromley,,,,,,,,,,,130,65,,
High Street Penge SE,Bromley,,,,,,,,,,,130,65,,
High Street Penge NW,Bromley,,,,,,,,,,,130,65,,
Cray Ave Orpington,Bromley,,,,,,,,,,,130,65,,
Anerley Road Penge,Bromley,,,,,,,,,,,130,65,,
Mitchell Way,Bromley,,,,,,,,,,,130,65,,
High Street Bromley (North),Bromley,,,,,,,,,,,130,65,,
High Holborn/Kingsway,Camden,WC1V 6PL,,,,1,0,£0.00,,,None,,,,
Dartmouth Park Road/Highgate Road,Camden,NW5 1PG,,,,1,0,£202.00,,,None,,,,
Highgate Road,Camden,,2013,09/01/2017,,270,0,"£19,940.47",,,None,,,,
Bloomsbury Street/Great Russel Street,Camden,,2013,09/01/2017,,82,0,"£5,604.00",,,None,,,,
Mobile,Camden,Mobile,,09/01/2017,,3,0,£195.00,,,None,,,,
Shoot Up Hill/Garlinge Road,Camden,NW2 3QN,,,,700,113,"£45,729.00",,,"£7,280.00",,,,
Mobile,Camden,Mobile,Mobile,09/01/2017,,11,10,£715.00,,,£585.00,,,,
Mobile,Camden,Mobile,Mobile,09/01/2017,,8,5,£455.00,,,£260.00,,,,
Brigton Road,Croydon,,01/04/2010,10/01/2017,2476,253,148,,,,,,,,
George Street,Croydon,,01/04/2008,10/01/2017,3206,13969,1961,,,,,,,,
High Street,Croydon,,01/04/2015,10/01/2017,650,145,87,,,,,,,,
North End,Croydon,,01/04/2008,10/01/2017,3206,2022,648,,,,,,,,
Tamworth Road,Croydon,,01/04/2008,10/01/2017,3206,1897,0,,,,,,,,
Wellesley Road,Croydon,,01/04/2012,10/01/2017,1745,460,270,,,,,,,,
Green Lanes/Elmdale Road N13,Enfield,S0002,11/12/2014,13/01/2017,764,781,0,,,1.0,,130,65,,
Bullsmoor Lane/Lackmore Road EN1*,Enfield,S0007,16/06/2015,13/01/2017,577,5421,2980,,,9.4,,130,65,,
"Fore Street/Fairfield Road, Edmonton N18",Enfield,S0012,12/04/2016,13/01/2017,276,973,0,,,3.5,,130,65,,
"Church Street o-s 312,Edmonton N9",Enfield,S0013,12/04/2016,13/01/2017,276,1117,0,,,4.0,,130,65,,
Colney Hatch Lane junction Alexandra Park Road,Haringey,109,01/04/2010,11/01/2017,2477,3196,,,,,,130,65,,
Muswell Hill Broadway South of Woodberry Crescent,Haringey,9500,01/04/2010,11/01/2017,2477,3285,,,,,,130,65,,
Muswell Hill Broadway Junction with Fortis Green Road,Haringey,84,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Muswell Hill Road north of Summersby Road,Haringey,110,01/04/2010,11/01/2017,2477,400,,,,,,130,65,,
Muswell Hill Broadway junction Muswell Hill,Haringey,112,01/04/2010,11/01/2017,2477,1676,,,,,,130,65,,
Bounds Green Road junction Brownlow Road,Haringey,113,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
High Road junction West Green Road,Haringey,29,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Green Lanes outside Turnpike Lane tube station,Haringey,8,01/04/2010,11/01/2017,2477,18,,,,,,130,65,,
High Road Opposite Philip Lane,Haringey,26,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
West Green Road Junction with Black Boy Lane,Haringey,87,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
West Green Road near Brunswick Road,Haringey,90,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
West Green Road near Stanley Road,Haringey,88,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
West Green Road near Woodlands Park Road,Haringey,91,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
West Green Road junction with Lawrence Road,Haringey,27,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
West Green Road by rail bridge,Haringey,28,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Westerfield Road car park,Haringey,30,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Hale Road Junction with Ashley Road,Haringey,89,01/04/2010,11/01/2017,2477,7,,,,,,130,65,,
High Road Junction with Lansdowne Road,Haringey,104,01/04/2010,11/01/2017,2477,3799,,,,,,130,65,,
High Road Junction with Moselle Place,Haringey,101,01/04/2010,11/01/2017,2477,1374,,,,,,130,65,,
High Road Junction with Park Lane,Haringey,102,01/04/2010,11/01/2017,2477,523,,,,,,130,65,,
High Road Junction with Ruskin Road,Haringey,103,01/04/2010,11/01/2017,2477,3744,,,,,,130,65,,
High Road near Reform Row,Haringey,105,01/04/2010,11/01/2017,2477,431,,,,,,130,65,,
High Road opposite Brantwood Road,Haringey,21,01/04/2010,11/01/2017,2477,2,,,,,,130,65,,
High Road near Bruce Grove Station,Haringey,23,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Chestnut Road junction Rycroft Way,Haringey,25,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Lordship Lane Junction with Boreham Road,Haringey,106,01/04/2010,11/01/2017,2477,5490,,,,,,130,65,,
Lordship Lane Junction with Morley Avenue,Haringey,107,01/04/2010,11/01/2017,2477,392,,,,,,130,65,,
A105 High Road Wood Green by Lascotts Road,Haringey,9757,01/04/2010,11/01/2017,2477,35,,,,,,130,65,,
A105 High Road Wood Green by Sidney Road,Haringey,9756,01/04/2010,11/01/2017,2477,153,,,,,,130,65,,
Wood Green High Road junction with Station Road,Haringey,1,01/04/2010,11/01/2017,2477,1,,,,,,130,65,,
Wood Green High Road junction with Gladstone Ave,Haringey,2,01/04/2010,11/01/2017,2477,1,,,,,,130,65,,
Wood Green High Road near Library,Haringey,3,01/04/2010,11/01/2017,2477,6,,,,,,130,65,,
Wood Green High Road junction with Lymington Avenue,Haringey,4,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Lymington Avenue junction with Bury Road,Haringey,5,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Wood Green High Road near Dovecote Avenue,Haringey,6,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Wood Green High Road near Peacocks,Haringey,7,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Brampton Park Road,Haringey,13,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Coleraine Road,Haringey,14,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
A105 Green Lanes by B150 Endymion Road,Haringey,9750,01/04/2010,11/01/2017,2477,970,,,,,,130,65,,
A105 Green Lanes by Kimberley Gardens,Haringey,9752,01/04/2010,11/01/2017,2477,1117,,,,,,130,65,,
A105 Green Lanes by Rutland Gardens,Haringey,9751,01/04/2010,11/01/2017,2477,3496,,,,,,130,65,,
A105 Green Lanes by Park Road,Haringey,9754,01/04/2010,11/01/2017,2477,77,,,,,,130,65,,
Crouch End Hill junction Crouch Hill,Haringey,111,01/04/2010,11/01/2017,2477,7991,,,,,,130,65,,
High Street Hornsey junction with Campsbourne Rd,Haringey,86,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
The Broadway Clock Tower,Haringey,114,01/04/2010,11/01/2017,2477,5,,,,,,130,65,,
Tottenham Lane junction with Elder Avenue,Haringey,85,01/04/2010,11/01/2017,2477,1,,,,,,130,65,,
Turnpike Lane junction Vernon Road,Haringey,108,01/04/2010,11/01/2017,2477,15,,,,,,130,65,,
Turnpike Lane junction with Hornsey Park Road,Haringey,34,01/04/2010,11/01/2017,2477,5890,,,,,,130,65,,
Park Road junction Middle Lane,Haringey,115,01/04/2010,11/01/2017,2477,0,,,,,,130,65,,
Turnpike Lane near Cultural Centre,Haringey,116,01/04/2010,11/01/2017,2477,5691,,,,,,130,65,,
Northolt Rd-Northbound,Harrow,B112,,13/01/2017,,"27,646",3355,"£1,811,991.00",,,"£216,942.00",130,65,,
Kenton Road junction Kenton Lane,Harrow,107,,13/01/2017,,"17,737",3383,"£1,078,763.00",,,"£209,398.00",130,65,,
StationRd-Wicks,Harrow,B53,,13/01/2017,,"12,861",1142,"£797,782.00",,,"£70,473.00",130,65,,
Rayners Lane - junction with Village Way East- OS 426C Rayners Lane,Harrow,44,,13/01/2017,,"2,751",468,"£189,931.00",,,"£32,528.00",130,65,,
"Sheepcote Road, Harrow - near Northwick Park Roundabout",Harrow,16,,13/01/2017,,"3,543",472,"£218,988.00",,,"£28,425.00",130,65,,
Uxbridge Road - Railway station/ Morrisons,Harrow,202,,13/01/2017,,46,32,"£2,535.00",,,"£1,885.00",130,65,,
Northolt Rd (Grnge-Roxeth),Harrow,112,,13/01/2017,,879,7,"£61,017.00",,,£520.00,130,65,,
Kymberley Rd,Harrow,7,,13/01/2017,,5,3,£260.00,,,£130.00,130,65,,
Gayton Rd Junct Station Rd,Harrow,011M,,13/01/2017,,22,1,"£1,275.00",,,£65.00,130,65,,
Hindes Road (StnRd - Hamilton),Harrow,053B,,13/01/2017,,13,1,£495.00,,,£65.00,130,65,,
Honeypot Lane opposite number 261 Honeypot Lane,Harrow,104,,13/01/2017,,"1,838",1,"£105,374.00",,,£65.00,130,65,,
Northolt RD - SouthBound,Harrow,B115,,13/01/2017,,46,1,"£2,795.00",,,£65.00,130,65,,
Station Road (HndsRd-StJohns),Harrow,B52,,13/01/2017,,4,1,£375.00,,,£65.00,130,65,,
Jct Alexandra Avenue/Rayners lane s/o station,Harrow,45,,13/01/2017,,2,1,£120.00,,,£55.00,130,65,,
High St(Spencer Rd-Grant Rd),Harrow,68,,13/01/2017,,15,1,£495.00,,,£55.00,130,65,,
College Rd (ClarRd - BssbrRd),Harrow,4,,13/01/2017,,3,1,£125.00,,,£0.00,130,65,,
Northolt Rd Junct Shaftsbury,Harrow,112M,,13/01/2017,,16,1,£995.00,,,£0.00,130,65,,
College Rd (ClarRd - BssbrRd),Harrow,1,,13/01/2017,,1,,£60.00,,,,130,65,,
Clarendon Road,Harrow,001A,,13/01/2017,,3,,£240.00,,,,130,65,,
Headstone Rd (Coll-Greenhill)_,Harrow,6,,13/01/2017,,2,,£60.00,,,,130,65,,
College Rd (StnRd - ClarRd),Harrow,9,,13/01/2017,,1,,£0.00,,,,130,65,,
Station Rd (ColRd - GaytRd),Harrow,10,,13/01/2017,,3,,£190.00,,,,130,65,,
Station RD(ST Anns Rd-CollRd),Harrow,010B,,13/01/2017,,1,,£60.00,,,,130,65,,
Station Rd (College Rd - Sheepcote Rd),Harrow,010C,,13/01/2017,,5,,£390.00,,,,130,65,,
Gayton Rd (StnRd - LyonRd),Harrow,11,,13/01/2017,,2,,£60.00,,,,130,65,,
Gayton Rd (StnRd-Grve Hill Rd),Harrow,011A,,13/01/2017,,1,,£0.00,,,,130,65,,
Northolt Road - Police Station,Harrow,12,,13/01/2017,,"1,910",,"£116,951.00",,,,130,65,,
Northold Rd Stat-eastcote la,Harrow,13,,13/01/2017,,2,,£120.00,,,,130,65,,
Northolt Road - Stroud Gate,Harrow,15,,13/01/2017,,9,,£525.00,,,,130,65,,
Station Rd (BnsfdLn - ColRd),Harrow,25,,13/01/2017,,1,,£60.00,,,,130,65,,
Greenhill Way (StnRd - HvlkPL),Harrow,28,,13/01/2017,,1,,£65.00,,,,130,65,,
Havelock Place Jctn Greenhill Way Service Road,Harrow,029M,,13/01/2017,,1,,£0.00,,,,130,65,,
Pinner Road,Harrow,33,,13/01/2017,,"2,298",,"£126,126.00",,,,130,65,,
Corner of Headstone Gardens/ Harrow view,Harrow,41,,13/01/2017,,4,,£310.00,,,,130,65,,
Opp High Worple Alexandra Avenue,Harrow,46,,13/01/2017,,1,,£60.00,,,,130,65,,
Corner warden avenue/ Alexandra Avenue,Harrow,47,,13/01/2017,,1,,£50.00,,,,130,65,,
Jct Alexandra Avenue / Eastcote lane,Harrow,48,,13/01/2017,,3,,£120.00,,,,130,65,,
Sheepcote Rd Junct Bonnersfield,Harrow,051M,,13/01/2017,,5,,£120.00,,,,130,65,,
Station Road (Wdlnds-Fairholm),Harrow,53,,13/01/2017,,266,,"£17,933.00",,,,130,65,,
Station Rd(Dominion Parade),Harrow,54,,13/01/2017,,1,,£50.00,,,,130,65,,
Station Rd(RailApp-Milton),Harrow,058B,,13/01/2017,,2,,£120.00,,,,130,65,,
"Byron Road, Wealdstone - at junction with Masons Avenue OS 92 Masons Ave",Harrow,60,,13/01/2017,,1,,£65.00,,,,130,65,,
Railway App(Bridge-Marlb),Harrow,061M,,13/01/2017,,6,,£360.00,,,,130,65,,
High St (Bridge - CanningRd),Harrow,62,,13/01/2017,,19,,"£1,230.00",,,,130,65,,
High St (Canning Rd-Spencer Rd,Harrow,66,,13/01/2017,,1,,£0.00,,,,130,65,,
High St (Canning-Locket),Harrow,67,,13/01/2017,,2,,£120.00,,,,130,65,,
High St junct George G Way,Harrow,067M,,13/01/2017,,1,,£0.00,,,,130,65,,
HEADSTONE LANE,Harrow,097M,,13/01/2017,,3,,£120.00,,,,130,65,,
Burnt Oak Outside Abbey National jnc of The Highlands,Harrow,100,,13/01/2017,,2,,£65.00,,,,130,65,,
Honeypot Lane opposite Selco Builders,Harrow,103,,13/01/2017,,5,,£300.00,,,,130,65,,
Streatfield Road near the Telephone Box by the toilets / Triple K grocery,Harrow,108,,13/01/2017,,9,,£555.00,,,,130,65,,
Harrow Weald Bus Garage JCT long elms /high road – OS Wealdstone Inn,Harrow,109,,13/01/2017,,1,,£0.00,,,,130,65,,
Brooke Avenue / Northolt Road,Harrow,111,,13/01/2017,,7,,£375.00,,,,130,65,,
Northolt Rd- (BusStn-Witby),Harrow,113,,13/01/2017,,10,,£380.00,,,,130,65,,
Northolt Rd - T-ton to Alx Ave,Harrow,115,,13/01/2017,,9,,£622.00,,,,130,65,,
NortholT Rd(Strd-Alxdra),Harrow,116,,13/01/2017,,62,,"£4,322.00",,,,130,65,,
Somervell Rd Junct Alxdra,Harrow,116M,,13/01/2017,,2,,£60.00,,,,130,65,,
Northolt Rd- (Eastcote Lane),Harrow,B113,,13/01/2017,,9,,£570.00,,,,130,65,,
Northolt RD-SouthBound,Harrow,B116,,13/01/2017,,718,,"£43,920.00",,,,130,65,,
Station Rd-Safari Cinema,Harrow,B54,,13/01/2017,,9,,£630.00,,,,130,65,,
The Bridge,Harrow,MOV61,,13/01/2017,,7,,£325.00,,,,130,65,,
Gordon Road Junct High Street,Harrow,MOV66,,13/01/2017,,3,,£125.00,,,,130,65,,
CCTV Vehicle,Harrow,V01,,13/01/2017,,7,,£320.00,,,,130,65,,
Yeading Lane,Hillingdon,322,,06/02/2017,,,,,,,,130,65,,
Coldharbour Lane,Hillingdon,323,,06/02/2017,,,,,,,,130,65,,
Uxbridge Road (by-pass),Hillingdon,324,,06/02/2017,,,,,,,,130,65,,
Uxbridge Road (retail park),Hillingdon,325,,06/02/2017,,,,,,,,130,65,,
Mildmay Park,Islington,LW0598,01/04/2014,30/11/2016,974,505,0,,,0.5,,£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Junction Road,Islington,LW0614,01/04/2014,30/11/2016,974,6395,2101,,,6.6,,£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Essex Road N.1,Islington,LW0636,01/04/2015,30/11/2016,609,1515,659,,,2.5,,£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Westgate,Kirklees,HD1 1NN,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
Kirkgate (eastbound),Kirklees,HD1 1QH,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
Kirkgate (westbound),Kirklees,HD1 1QH,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
